,Pais,Genero,Edad,Antigüedad,FacturacionTotal,PuntuacionCrediticia,CantidadProductos,PoseeTarjetaCredito,MiembroActivo,SalarioEstimado,VelocidadServicio,Abandono
0,Argentina,Femenino,40,7,142856.95,723,2,No,No,38019.74,500Mb,Si
1,Brasil,Masculino,44,1,141136.62,661,1,Si,No,189742.78,500Mb,Si
2,Brasil,Femenino,35,8,141665.63,518,1,No,Si,192776.64,1GB,No
3,Argentina,Femenino,60,2,0.0,827,2,No,Si,60615.83,1GB,No
4,Argentina,Masculino,42,7,0.0,543,1,Si,Si,56650.47,500Mb,Si
5,Argentina,Masculino,33,6,125789.69,410,1,No,No,66333.56,20GB,Si
6,Argentina,Femenino,40,1,140197.71,495,2,Si,No,150720.39,100GB,No
7,Argentina,Femenino,34,3,0.0,648,1,Si,No,54726.43,100GB,No
8,Argentina,Masculino,34,1,141796.43,735,1,Si,No,45858.49,2GB,No
9,Argentina,Masculino,32,9,100606.02,712,1,Si,No,165693.06,20GB,No
10,Argentina,Masculino,27,7,0.0,611,2,Si,Si,157474.1,2GB,No
11,Argentina,Femenino,34,2,0.0,850,2,Si,Si,171706.66,2GB,No
12,Argentina,Femenino,47,2,88011.4,722,1,Si,Si,90655.94,100GB,Si
13,Brasil,Masculino,40,4,166082.15,850,2,No,Si,44406.17,2GB,No
14,Argentina,Femenino,47,8,103894.38,489,2,Si,Si,107625.46,1GB,No
15,Argentina,Femenino,38,2,0.0,769,2,No,No,75578.67,20GB,No
16,Argentina,Femenino,53,10,89550.85,487,1,No,Si,90076.85,2GB,No
17,Brasil,Femenino,34,6,106434.94,766,1,No,Si,137995.66,500Mb,Si
18,Brasil,Masculino,34,4,185173.81,699,2,Si,No,120834.48,20GB,No
19,Argentina,Femenino,39,10,86546.29,596,1,No,Si,131768.98,1GB,No
20,Argentina,Masculino,30,10,114835.43,728,1,No,Si,37662.49,1GB,No
21,Chile,Masculino,43,1,0.0,722,1,Si,No,44560.17,1GB,Si
22,Argentina,Femenino,32,5,0.0,750,2,Si,No,95611.47,1GB,No
23,Brasil,Masculino,34,2,40105.51,636,2,No,Si,53512.16,500Mb,Si
24,Argentina,Masculino,38,4,71018.6,611,2,Si,No,2444.29,100GB,No
25,Brasil,Femenino,40,9,134504.78,521,1,Si,No,18082.06,100GB,No
26,Argentina,Masculino,27,5,51522.75,736,1,No,Si,192131.77,100GB,No
27,Argentina,Masculino,38,9,72286.84,713,2,Si,Si,26136.89,1GB,No
28,Argentina,Masculino,43,7,0.0,569,2,Si,No,52534.81,500Mb,Si
29,Chile,Masculino,25,7,127728.24,546,2,Si,Si,105279.74,100GB,No
30,Brasil,Femenino,54,6,108755.0,554,1,Si,No,40914.32,500Mb,Si
31,Chile,Femenino,34,4,0.0,677,2,Si,Si,6175.53,2GB,No
32,Chile,Femenino,64,5,0.0,524,1,Si,No,136079.64,2GB,Si
33,Brasil,Masculino,49,2,108204.52,637,1,Si,No,169037.84,1GB,Si
34,Brasil,Femenino,51,1,87779.83,840,1,No,Si,36687.11,2GB,Si
35,Argentina,Femenino,42,4,0.0,673,2,Si,No,121440.8,2GB,No
36,Brasil,Masculino,36,5,131142.53,499,2,Si,No,174918.46,2GB,No
37,Argentina,Masculino,31,3,119558.35,735,1,No,No,72927.68,1GB,No
38,Argentina,Masculino,36,9,0.0,737,1,No,Si,188670.9,1GB,Si
39,Argentina,Femenino,38,10,0.0,537,1,No,No,52337.97,1GB,Si
40,Brasil,Femenino,39,0,111213.64,677,2,Si,Si,147578.26,2GB,No
41,Argentina,Masculino,52,4,0.0,727,2,Si,Si,118429.02,500Mb,Si
42,Argentina,Femenino,39,3,92224.56,705,1,Si,Si,54517.25,20GB,No
43,Brasil,Femenino,34,6,37266.67,671,2,No,No,156917.12,2GB,No
44,Argentina,Femenino,33,1,0.0,745,2,Si,Si,174431.01,1GB,No
45,Argentina,Masculino,43,1,76408.85,767,2,Si,No,77837.63,100GB,No
46,Brasil,Femenino,35,6,128100.28,614,1,No,No,69454.24,500Mb,Si
47,Argentina,Masculino,37,3,96651.03,592,1,Si,Si,3232.82,500Mb,Si
48,Brasil,Masculino,40,5,90594.55,607,1,No,Si,181598.25,100GB,No
49,Argentina,Masculino,42,6,0.0,667,1,Si,No,88890.05,1GB,No
50,Brasil,Masculino,32,9,170661.47,509,1,Si,Si,21646.2,1GB,No
51,Brasil,Femenino,28,10,132932.14,751,2,Si,Si,46630.47,500Mb,Si
52,Argentina,Masculino,24,9,107065.31,655,1,Si,Si,51959.82,500Mb,Si
53,Argentina,Femenino,30,5,0.0,546,2,No,Si,198543.09,20GB,No
54,Brasil,Masculino,36,2,123601.56,699,2,Si,No,103557.85,20GB,No
55,Argentina,Femenino,47,9,0.0,650,1,Si,No,187943.6,500Mb,Si
56,Chile,Masculino,34,10,153360.02,671,1,Si,No,140509.86,100GB,No
57,Argentina,Femenino,37,4,0.0,577,1,Si,Si,79881.39,500Mb,Si
58,Argentina,Masculino,30,3,111099.79,562,2,No,No,140650.19,1GB,No
59,Brasil,Masculino,40,4,95001.33,649,1,No,Si,123202.99,20GB,No
60,Argentina,Femenino,48,7,0.0,554,2,Si,Si,63708.07,500Mb,Si
61,Argentina,Masculino,34,5,84009.47,748,1,Si,Si,137001.1,1GB,No
62,Chile,Masculino,37,5,0.0,805,2,Si,No,21928.81,100GB,No
63,Chile,Femenino,33,8,0.0,669,2,No,Si,128538.05,2GB,No
